SimTime,TTI,ActiveAgents,WaitingReroute,CompletedTrips,DynamicReroutes,BlackZones,RedZones,YellowZones,RouterRPS,SavedDuplicates,RouterLoad,GreenZones,VisitedNodes,RouteCycles,WaitingSpawn,RouteTimeMaxUs,RouteTimeAvgUs,RouterWaitTimeUs
28309,5.044,199876,26504,975196,540185,26,2957,1400,754.8,3908988,0.9989,35999,56792.7,39570800.0,9078,133561,9642.13,2872086990
28320,5.6638,199892,26510,975439,540708,26,2955,1402,724.6,3910375,0.9989,36034,60927,40463100.0,8994,166944,10305.7,2873095010
28329,6.7211,199921,26393,975635,541330,26,2956,1402,748.0,3911663,0.9989,35917,57781.9,35752000.0,8981,186499,10640.6,2874111033
28338,5.9353,199902,26377,975862,541833,26,2961,1400,741.4,3912750,0.9989,35847,59147.5,43101500.0,8991,118778,10364.1,2875061145
28360,6.6247,199864,26356,976414,542889,25,2959,1410,796.3,3915033,0.9989,36049,66884.4,45286700.0,9029,158972,10735,2877137258
28370,6.4866,199862,26474,976672,543454,25,2960,1405,765.3,3916222,0.9989,36003,59733.5,38013800.0,8934,104266,9559.5,2878114313
28378,6.4676,199920,26227,976860,544031,25,2957,1409,766.0,3917555,0.9989,35754,59606.3,36429200.0,8952,145062,12021.2,2879145271
28400,5.9747,200000,26277,977374,545224,25,2956,1411,842.1,3919694,0.9989,35854,58130.3,38709500.0,9034,123436,10020.9,2881121280
28410,5.8683,200000,26448,977605,545589,25,2960,1403,761.4,3920764,0.9989,35903,64983.4,44661400.0,8999,150469,11523.9,2882210058
28420,5.9819,200000,26325,977857,546172,25,2964,1400,765.1,3921931,0.9989,35968,60185.4,40206500.0,9008,154997,11249.4,2883096729
28430,5.5867,200000,26452,978073,546581,25,2965,1402,704.9,3922955,0.9989,35906,63921.3,44018100.0,8980,126074,11592.6,2884192757
28440,5.7433,200000,26455,978303,547051,25,2964,1401,701.6,3924078,0.9989,36007,60755.8,42454100.0,8978,155066,10923.1,2885175796
28460,6.3575,200000,26553,978764,547885,25,2965,1402,736.5,3925945,0.9989,36008,72900.6,49725300.0,8948,141889,13095.2,2887300739
28470,5.4557,200000,26510,978996,548374,25,2970,1404,664.6,3927051,0.9989,36023,58360.6,43279400.0,9073,149004,12579.6,2888308508
28490,5.4437,200000,26525,979476,549330,25,2971,1406,760.3,3929276,0.9989,35965,58430.5,44356600.0,8995,122166,11190.3,2890436144
28500,6.0203,200000,26506,979687,549859,25,2966,1408,758.9,3930818,0.9989,35868,58212.8,36889200.0,8967,145571,10447.4,2891293761
28510,6.2131,200000,26587,979911,550232,25,2969,1407,727.6,3931555,0.9989,35789,61043.3,45069900.0,8956,128680,10808.5,2892444115
28520,7.2152,200000,26537,980125,550773,25,2967,1407,672.8,3932606,0.9989,35928,59860.4,39959200.0,9058,154077,12347.6,2893431357
28540,5.4835,199991,26540,980609,551778,25,2968,1406,750.6,3934783,0.9989,35809,64375.1,42803100.0,8939,139465,11309.3,2895419122
28550,6.5989,199976,26449,980866,552342,25,2968,1406,712.3,3936132,0.9989,35796,58469.8,39681500.0,8944,144301,10758.9,2896409154
28560,5.5106,199980,26508,981101,552809,25,2966,1409,696.8,3937254,0.9989,35624,64325.7,39961300.0,8946,125029,11079.9,2897469076
28581,5.8699,199973,26552,981556,553796,25,2962,1413,764.1,3939611,0.9989,35752,69261.6,50118800.0,8913,146392,11679.8,2899457847
28591,5.6364,199957,26388,981764,554429,25,2962,1409,732.8,3940880,0.9989,35766,60729.5,41161000.0,8863,132820,11710,2900429790
28600,5.9317,199974,26321,981996,554944,25,2960,1410,723.0,3941947,0.9989,35588,65155.7,39725800.0,8904,164662,10558,2901454807
28621,5.6637,199950,26375,982509,555871,25,2961,1409,781.6,3944045,0.9989,35775,63777,45653900.0,8931,125802,9801.44,2903420946
28632,6.8164,199936,26329,982783,556410,25,2963,1408,731.4,3945252,0.9989,35764,59636,37888300.0,8933,158586,10695,2904470075
28642,5.1611,199933,26376,983024,556823,25,2960,1410,719.1,3946264,0.9989,35639,64776.4,40427200.0,8929,149654,10561.4,2905495694
28651,5.9926,199952,26262,983205,557395,25,2964,1406,728.3,3947430,0.9989,35460,60945.4,41403100.0,8906,149077,10893.1,2906502704
28673,6.9313,199916,26238,983696,558474,25,2958,1415,802.7,3949534,0.9989,35645,56402.8,38797400.0,8899,196327,11728.7,2908531750
28683,6.6517,199924,26206,983938,558956,25,2958,1416,773.5,3950648,0.9989,35436,62025.6,42260000.0,8909,181649,10783.9,2909499416
28694,6.5446,199899,26243,984226,559401,25,2961,1410,713.6,3951636,0.9989,35408,60616.1,45280200.0,8911,128811,11519.8,2910499920
28713,6.3277,199914,26295,984656,560409,25,2961,1409,773.3,3953810,0.9989,35564,59731.7,41689200.0,8927,159524,11048,2912491841
28723,6.0789,199933,26383,984904,560830,25,2958,1416,710.9,3954825,0.9989,35675,59225.6,45780700.0,8927,118669,12649.1,2913415242
28733,6.0229,199925,26375,985126,561312,25,2958,1414,709.7,3955937,0.9989,35566,61635.7,42433600.0,8904,121649,11107.5,2914517501
28743,6.2366,199922,26527,985348,561720,25,2960,1409,706.9,3956640,0.9989,35472,69789.9,50287600.0,8869,133143,12432.9,2915390030
28764,6.8221,199879,26479,985825,562852,25,2958,1406,786.2,3959171,0.9989,35653,59482.7,38494600.0,8821,101742,9819.28,2917504842
28775,6.2928,199869,26554,986089,563428,25,2956,1407,738.9,3960339,0.9989,35555,59561.4,37503000.0,8815,123514,10175.7,2918560469
28795,6.6483,199879,26469,986578,564564,25,2957,1398,829.2,3962868,0.9989,35662,58937.3,38278700.0,8721,110578,9273.2,2920517516
28805,6.1048,199871,26473,986827,565115,25,2951,1408,817.1,3964070,0.9989,35706,62030.6,41081600.0,8732,169035,11460.7,2921577343
28815,5.3548,199887,26355,987040,565766,26,2950,1402,857.9,3965323,0.9989,35823,58657,39430100.0,8624,108867,9841.28,2922534467
28825,6.4744,200000,26528,987267,566521,26,2949,1406,823.2,3966952,0.9989,35910,59865.4,37658700.0,8747,89662,10349.7,2923568775
28845,6.5213,200000,26145,987761,567695,26,2952,1406,889.3,3969754,0.9989,35927,63688.7,40416800.0,8649,136609,9728.15,2925571380
28865,7.0262,200000,26345,988209,568521,26,2947,1419,747.6,3971790,0.9989,36007,62556.7,40815700.0,8624,125944,10142.5,2927652106
28875,6.3338,200000,26214,988448,569154,26,2946,1421,762.6,3973064,0.999,35953,53867.4,32306700.0,8638,136824,9729.75,2928731318
28885,6.1664,200000,26190,988682,569660,26,2951,1415,708.0,3974150,0.9989,36097,62224.6,39747500.0,8660,142990,10245.6,2929592901
28905,6.7119,200000,26250,989089,570658,26,2950,1413,758.1,3976331,0.999,35985,59801.5,40302500.0,8614,152925,10945.7,2931741276
28915,5.6958,200000,26185,989322,571167,26,2953,1408,730.5,3977568,0.9989,36184,67939.1,43351500.0,8456,147440,10707.4,2932688073
28925,7.2545,200000,26194,989560,571714,27,2954,1410,738.0,3978618,0.9989,36148,65897.5,41460100.0,8459,128999,10937.4,2933665889
28945,6.1281,200000,26255,990029,572750,27,2957,1411,792.4,3980765,0.9989,36001,63258,40759700.0,8492,129097,10623.4,2935759125
28955,6.1909,200000,26157,990263,573297,27,2955,1417,735.0,3982127,0.9989,35993,61385.5,37760000.0,8519,110944,10555.6,2936694752
28975,6.7054,200000,26082,990707,574363,27,2958,1413,797.4,3984405,0.999,35920,66803,45011300.0,8461,142445,11905.3,2938784309
28985,5.1727,200000,26098,990949,574902,27,2958,1414,744.3,3985458,0.9989,35973,69989.8,45105300.0,8466,184372,11009.2,2939657651
